ProbeID,Accession,Analyte,Control,cel67,miR142,miR155,miR18b,miR890
hsa-miR-216b-5p,MIMAT0004959,miRNA,28.32,33.08,25.13,28.95,20,25.7
hsa-miR-217,MIMAT0000274,miRNA,20,20,30.64,20,20,20
hsa-miR-218-5p,MIMAT0000275,miRNA,20,20,20,20,20,83.71
hsa-miR-219a-2-3p,MIMAT0004675,miRNA,29.31,32.45,30.94,35.93,33.34,32.47
hsa-miR-219b-3p,MIMAT0019748,miRNA,21.26,22.27,20,20,20,20
hsa-miR-22-3p,MIMAT0000077,miRNA,233.43,224.94,212,154.87,175.12,183.81
hsa-miR-221-3p,MIMAT0000278,miRNA,885.47,697.73,553.31,384.85,583.24,459.22
hsa-miR-222-3p,MIMAT0000279,miRNA,86.66,140.15,150.62,100.15,122.48,108.57
hsa-miR-23a-3p,MIMAT0000078,miRNA,1273.96,1456.8,1871.07,1253.18,1345.78,1479.61
hsa-miR-23b-3p,MIMAT0000418,miRNA,98.23,102.86,102.81,87.42,90.75,89.43
hsa-miR-23c,MIMAT0018000,miRNA,20,20,20,50.12,20,20
hsa-miR-24-3p,MIMAT0000080,miRNA,501.12,437.09,388.75,260.23,569.2,322.06
hsa-miR-25-3p,MIMAT0000081,miRNA,110.61,125.36,150.37,114.33,81.7,106
hsa-miR-2682-5p,MIMAT0013517,miRNA,20,20,20,20,20,20.99
hsa-miR-26a-5p,MIMAT0000082,miRNA,436.11,332.05,326.51,232.25,455.07,283.47
hsa-miR-26b-5p,MIMAT0000083,miRNA,27.66,28.63,20.87,23.64,23.45,22.5
hsa-miR-27a-3p,MIMAT0000084,miRNA,23.98,20.42,20,21.13,21.65,20
hsa-miR-27b-3p,MIMAT0000419,miRNA,180.51,137.44,137.44,93.53,114.14,108.13
hsa-miR-28-5p,MIMAT0000085,miRNA,56.6,62.37,71.22,63.37,45.91,60.21
hsa-miR-296-5p,MIMAT0000690,miRNA,27.09,27.79,31.18,20.18,24.39,20
hsa-miR-299-3p,MIMAT0000687,miRNA,20,20.42,20,20,20,20
hsa-miR-299-5p,MIMAT0002890,miRNA,56.9,58.05,68.16,49.2,50.29,52.93
hsa-miR-29a-3p,MIMAT0000086,miRNA,589.18,564.4,474.53,371.24,336.98,398.41
hsa-miR-29b-3p,MIMAT0000100,miRNA,813.86,773.74,777.39,514.88,529.97,625.98
hsa-miR-29c-3p,MIMAT0000681,miRNA,36.69,34.33,22.62,21.13,31.29,22.27
hsa-miR-300,MIMAT0004903,miRNA,20,20,20,20,20,45.46
hsa-miR-301a-3p,MIMAT0000688,miRNA,20,20,30.2,20.43,20,20
hsa-miR-302a-5p,MIMAT0000683,miRNA,20,23.62,20,22.7,20,20
hsa-miR-302b-3p,MIMAT0000715,miRNA,57.9,65.04,36.79,54.4,24.75,50.94
hsa-miR-302d-3p,MIMAT0000718,miRNA,20.56,20,29.44,20,20,25.62
hsa-miR-3065-5p,MIMAT0015066,miRNA,27.42,31.78,32.62,20,27.51,27.19
hsa-miR-30a-3p,MIMAT0000088,miRNA,20,20,20,20,20,26.4
